"ystrata" "birthstrata" "racestrata"
"1" 120.185693185534 2080.65092077498 0
"2" 119.826167295397 1997.38263596086 0
"3" 120.727892385328 2055.71650808955 0
"4" 119.086058901855 1908.17600109072 0
"5" 118.74428343083 1901.34867563679 0
"6" 119.321374284906 1919.25823710149 0
"7" 119.271309494004 1950.41905070874 0
"8" 120.148522120359 1947.93351526694 0
"9" 120.257270225201 1957.22691299834 0
"10" 119.449283303532 1959.3803112518 0
"11" 121.584812055097 2121.72018156858 0
"12" 120.88591903739 2110.50472446375 0
"13" 120.432687351979 2085.6250028612 0
"14" 120.25979112443 1982.81008309774 0
"15" 119.905744426724 1985.49468865343 0
"16" 120.987613792492 2097.34337984112 0
"17" 121.097825708807 2076.2410731839 0
"18" 120.024586739354 1963.71932612966 0
"19" 121.305621422455 2112.333240391 0
"20" 120.854037923126 2060.59373734264 0
"21" 119.506161805303 1979.00744109139 0
"22" 121.770449767364 2132.08579995273 0
"23" 119.372986871746 1903.08156805037 0
"24" 118.145453582209 1859.13670437943 0
"25" 119.990365019059 2015.89553572808 0
"26" 119.726833577238 1995.29883151721 0
"27" 119.97383497095 2015.21763625029 0
"28" 117.891296773789 1833.86860230254 0
"29" 119.993564197289 2002.37900388994 0
"30" 121.717958852935 2096.75828839422 0
"31" 119.086579700551 1941.75879188775 0
"32" 118.286061848806 1837.10781996818 0
"33" 121.149604676437 2143.69614459877 0
"34" 121.122574766256 2124.7504397685 0
"35" 120.47503061285 2071.12838179183 0
"36" 120.594577452977 2065.95642295609 0
"37" 120.665267245086 2012.61778856883 0
"38" 119.740301501607 1988.83563588127 0
"39" 118.940408192148 1917.28586239066 0
"40" 120.730495690568 2092.25806225769 0
"41" 120.241074071119 2008.93942953787 0
"42" 118.52927132963 1880.88827299259 0
"43" 122.133960815679 2244.19145603976 0
"44" 117.455122655661 1756.81182141899 0
"45" 122.45467015594 2224.06369396318 0
"46" 119.408476987462 1951.13039597511 0
"47" 117.787221559639 1795.52795982861 0
"48" 120.291665226757 2030.48589514642 0
"49" 118.651605230143 1894.47122227155 0
"50" 120.880665126971 2062.16484897251 0
"51" 118.315806654879 1840.00151197397 0
"52" 119.308558249848 1928.83401657001 0
"53" 119.600413630202 1991.98681315302 0
"54" 120.705711705773 2087.63005875806 0
"55" 120.184866006968 2066.29290996761 0
"56" 120.866580384615 2055.67970637448 0
"57" 120.298636707469 2085.75813193471 0
"58" 120.855630996877 2054.63169625508 0
"59" 120.068080607158 2016.79863842612 0
"60" 120.148240342701 1988.72891907433 0
"61" 118.684317129304 1883.50068322668 0
"62" 118.085917636279 1802.36531687205 0
"63" 120.934649545033 2067.76391464779 0
"64" 119.73985085043 1979.36246153027 0
"65" 119.892119615316 1971.27563729793 0
"66" 119.383866145394 1987.68688050508 0
"67" 121.061879131248 2089.37353788489 0
"68" 120.881355149952 2136.76998906663 0
"69" 120.472586366473 2039.47950854454 0
"70" 119.317754183805 1982.23929844829 0
"71" 119.991759186991 1981.48302299311 0
"72" 120.529895416354 2046.78849063128 0
"73" 119.579695960628 1936.15888548417 0
"74" 120.107814412022 2108.47024807934 0
"75" 121.434070541505 2141.29693167841 0
"76" 119.527821471395 1928.99477155344 0
"77" 118.348501717473 1878.1303557297 0
"78" 119.813653593315 1953.96923481744 0
"79" 120.920796040916 2098.59519579538 0
"80" 121.424251554406 2115.01058363371 0
"81" 118.38394553015 1846.56376457681 0
"82" 120.767972442123 2087.89676976987 0
"83" 120.134767802422 2021.2269428223 0
"84" 121.624624277864 2131.42606818117 0
"85" 118.91586933394 1902.93724574599 0
"86" 121.140621919243 2125.79621352602 0
"87" 120.234621143451 1987.67273608862 0
"88" 121.009836601693 2078.73890533857 0
"89" 119.500285019232 1945.92285492406 0
"90" 121.155290453091 2114.82126213706 0
"91" 119.965268454302 2039.54564190847 0
"92" 118.607400173592 1883.38075480117 0
"93" 120.872749106647 2099.69952375444 0
"94" 120.540191830353 2080.43093282269 0
"95" 119.575080797236 1927.85340160222 0
"96" 121.188978438206 2168.51220763261 0
"97" 120.436179365807 2041.20491423161 0
"98" 120.601104245259 2092.00819990917 0
"99" 119.632740670668 1933.41752736173 0
"100" 120.565744183017 2082.2540223783 0
"101" 121.74047272082 2210.10012021905 0
"102" 119.579784764072 1949.32072035097 0
"103" 119.511426613213 2021.00756899833 0
"104" 121.703728637243 2154.1358499334 0
"105" 121.096918217109 2061.02631824453 0
"106" 118.776976291277 1875.42466105233 0
"107" 120.746833045234 2117.85160634101 0
"108" 120.41848348839 2053.02869923747 0
"109" 120.678739961445 2050.12423810456 0
"110" 121.57743957271 2140.58998070002 0
"111" 119.732153633268 1997.91213035926 0
"112" 119.631961563586 2006.81617416384 0
"113" 120.38717959031 2069.56306831406 0
"114" 121.195014719946 2124.15980712246 0
"115" 118.381329343171 1889.59741639546 0
"116" 118.565496139886 1926.45435817907 0
"117" 120.748734160742 2076.64655959607 0
"118" 119.012557817105 1901.70276648539 0
"119" 122.027856610672 2140.04904785943 0
"120" 118.668561729815 1890.37170305697 0
"121" 119.255520815928 1968.14087472163 0
"122" 121.411276229405 2158.15809823031 0
"123" 120.261867655489 2002.08889204953 0
"124" 120.492279623159 2048.22822191781 0
"125" 120.326390670983 2047.22598457409 0
"126" 121.560453772229 2164.72674624169 0
"127" 119.735276515669 1982.11831626901 0
"128" 119.661522581819 1953.76489008129 0
"129" 119.36995439803 1932.45954607406 0
"130" 120.475370367107 2063.40423438924 0
"131" 120.887796736941 2062.05930439941 0
"132" 121.923051901165 2156.7963654988 0
"133" 118.679536326341 1885.9697303323 0
"134" 119.886317780881 2013.64224352142 0
"135" 121.471729564966 2124.7768608579 0
