"ysrs" "birthsrs" "racesrs"
"1" 157.842249198022 1976.25193483874 1
"2" 152.966778258451 1881.52020395694 1
"3" 159.318122258921 1988.86528251711 1
"4" 167.16235440827 2140.15659094163 1
"5" 155.19551020152 1907.38437770805 1
"6" 156.288040464932 1921.40530966227 1
"7" 119.700591123089 1950.89016530323 0
"8" 156.835086886214 1952.34507941471 1
"9" 166.746530006429 2139.59103355471 1
"10" 160.734512630836 2028.89002832813 1
"11" 120.306348528857 2039.67698140432 0
"12" 166.27243836464 2112.37643128324 1
"13" 120.43931974049 2018.08699594802 0
"14" 160.980503947362 2002.7645967094 1
"15" 150.620009145249 1822.34371764779 1
"16" 120.832212081115 2093.42256303737 0
"17" 120.396563086908 1984.46794035996 0
"18" 158.726729482667 2008.41650787686 1
"19" 150.322932677448 1806.10895612097 1
"20" 160.535579797746 1989.12460716555 1
"21" 119.64103668517 1992.3795237098 0
"22" 172.206450747142 2267.88713766317 1
"23" 119.284216183647 1935.26953669109 0
"24" 121.951391404868 2201.72297917982 0
"25" 157.321776058737 1948.99823087668 1
"26" 169.999489145716 2211.46604698523 1
"27" 161.214123428431 2039.87972971719 1
"28" 119.738860995985 2005.60617734016 0
"29" 157.202033010589 1937.43130835696 1
"30" 159.527394265853 1987.0506295553 1
"31" 119.571003308944 1968.44388440961 0
"32" 160.483455759187 2009.14554765061 1
"33" 158.505345931071 1967.78531388156 1
"34" 161.242849225769 2021.05687667182 1
"35" 167.770117919147 2141.952668469 1
"36" 160.877965245362 2029.46141231158 1
"37" 159.441571198314 1982.065277147 1
"38" 120.535648014275 2022.12732259531 0
"39" 157.821981163568 1960.51180554015 1
"40" 156.615071858017 1957.18757854775 1
"41" 163.871801443339 2058.31979484348 1
"42" 174.189523669384 2296.10020017932 1
"43" 119.622413903642 1991.71216387218 0
"44" 162.272169916254 2038.51256990352 1
"45" 165.319922796216 2116.77379210635 1
"46" 158.869975935354 1979.18916939692 1
"47" 171.230087380647 2212.73298101202 1
"48" 154.144590788415 1895.07094923867 1
"49" 120.067438359539 2018.86173825162 0
"50" 164.812641834294 2095.86907176295 1
"51" 158.896427372552 1985.22702450576 1
"52" 160.45627047034 2009.25397575699 1
"53" 161.222872090775 2054.14437452269 1
"54" 162.38367976568 2045.29503232648 1
"55" 166.824672150174 2135.96856282387 1
"56" 156.175252152773 1943.01605208871 1
"57" 171.03725137453 2219.42479402827 1
"58" 155.577959741927 1918.68781626176 1
"59" 158.645682610304 1977.0501153507 1
"60" 160.825774524167 2036.51367109535 1
"61" 151.300964367444 1834.68980658925 1
"62" 161.164055319769 2021.83095725546 1
"63" 121.180306778269 2114.14207951963 0
"64" 119.937549088371 2032.97702489668 0
"65" 158.987153098217 1966.77818409888 1
